Label	Weight	Text
l_covid19	1	live status of covid19 portugal
l_covid19	1	portugal
l_covid19	1	current status of covid19 portugal
l_covid19	1	live status of covid19 world
l_covid19	1	ignore
l_covid19	1	covid19 portugal
l_covid19	1	world covid19
l_covid19	1	current status of covid19 world
l_covid19	1	today status
l_covid19	1	bye
l_covid19	1	today status world
l_covid19	1	status covid world
None	1	book a restaurant
None	1	i'd like to rent a car
None	1	winter is coming
None	1	find an airport near me
q_sample_qna	1	Receber encomendas de outros países é um risco
q_sample_qna	1	Quais os sinais e sintomas associados à COVID-19
q_sample_qna	1	As profissionais de saúde grávidas correm maior risco de resultados adversos se cuidarem de pacientes com COVID-19
q_sample_qna	1	Como é que as pessoas podem ajudar a acabar com o estigma relacionado com o COVID-19
q_sample_qna	1	O que se recomenda a quem tem que andar de metro/autocarro
q_sample_qna	1	Quanto tempo o vírus persiste numa superfície
q_sample_qna	1	Como fazer quando os clientes, devido ao teor do serviço prestado, não podem usar máscara (por exemplo, tratamentos de rosto, cortar a barba, comer, etc)
q_sample_qna	1	Quais são os grupos considerados de risco para a COVID-19
q_sample_qna	1	Que cuidados devo ter se estiver em isolamento
q_sample_qna	1	O que é o Novo Coronavírus
q_sample_qna	1	O que deve ter em conta os outros membros da casa
q_sample_qna	1	Onde posso fazer o teste
q_sample_qna	1	O que é a quarentena (“isolamento profilático”) e o isolamento
q_sample_qna	1	Qual a diferença entre epidemia e pandemia
q_sample_qna	1	O que quer dizer "transmissão comunitária"
q_sample_qna	1	Antes do aparecimento de sintomas, a pessoa pode transmitir a infeção
q_sample_qna	1	O que é a COVID-19
q_sample_qna	1	O SARS-CoV-2 pode ser transmitido através das fezes
q_sample_qna	1	Quem está em risco de doença por COVID-19
q_sample_qna	1	As crianças e jovens diabéticos tipo 1 são considerados de risco
q_sample_qna	1	As mulheres grávidas com COVID-19 podem transmitir o vírus ao feto ou ao recém-nascido (isto é, transmissão vertical)
q_sample_qna	1	O que quer dizer “transmissão comunitária”
q_sample_qna	1	Se estiver em isolamento, pode receber pessoas em casa
q_sample_qna	1	Posso deixar as crianças com os avós
q_sample_qna	1	Existe uma vacina
q_sample_qna	1	Tenho de usar máscara para me proteger
q_sample_qna	1	Qual é o tratamento
q_sample_qna	1	É obrigatório elaborar um plano de contingência sobre os procedimentos a tomar perante a identificação de um caso suspeito de COVID-19? Este deve ser público
q_sample_qna	1	Qual é a percentagem de doença ligeira e grave por COVID-19
q_sample_qna	1	O dinheiro é um veículo de transmissão da COVID-19
q_sample_qna	1	As pessoas que fumam ou usam cigarros de aquecimento ou eletrónicos têm maior risco de contrair a COVID-19
q_sample_qna	1	O que são os Coronavírus
q_sample_qna	1	Porque culpam ou evitam pessoas e grupos devido à COVID-19 (Estigmatização)
q_sample_qna	1	Como devo colocar e retirar uma máscara
q_sample_qna	1	Quando não for possível ter uma sala dedicada/própria para o “isolamento” num estabelecimento/empresa, como se deve proceder
q_sample_qna	1	Quando posso abrir o meu estabelecimento/ empresa/serviço e qual o horário recomendado
q_sample_qna	1	Um fumador que deixe os hábitos tabagísticos melhora a sua capacidade de resposta à infeção por COVID-19
q_sample_qna	1	Que cuidados devo ter na preparação e confeção de alimentos
q_sample_qna	1	Qual a situação atual e o risco em Portugal da COVID-19
q_sample_qna	1	Parar de fumar diminui o risco de contrair a COVID-19
q_sample_qna	1	O clima quente vai parar o surto de COVID-19
q_sample_qna	1	Quando é recomendado o uso de máscara, esta pode ser substituída por viseira
q_sample_qna	1	Há uma temperatura mínima para lavar a roupa quando há um caso confirmado de COVID-19 em casa
q_sample_qna	1	As mulheres grávidas são mais suscetíveis à infeção ou têm maior risco de doenças graves, morbidade ou mortalidade com o COVID-19, em comparação com o público em geral
q_sample_qna	1	COVID-19 é o mesmo que o SARS-CoV-2
q_sample_qna	1	Qual é a origem do Novo Coronavírus
q_sample_qna	1	Deixei de fumar e estou em risco de recair. O que devo fazer
q_sample_qna	1	Se estiver em isolamento, posso receber pessoas em casa
q_sample_qna	1	O que é um Contacto Próximo
q_sample_qna	1	SARS-CoV-2 é o mesmo que COVID-19
q_sample_qna	1	As barreiras físicas, de materiais como acrílico, vidro ou cortinas, podem servir para reduzir o distanciamento de 2 metros
q_sample_qna	1	Para servir alimentos ou bebida deve ser dada preferência aos materiais descartáveis ou pode continuar a usar-se loiça? É possível lavar a loiça sem máquina
q_sample_qna	1	As pessoas que têm a doença ficam imunes
q_sample_qna	1	O que é que as pessoas em risco de doença grave por COVID-19 devem fazer
q_sample_qna	1	É necessário o internamento em todos os casos de COVID-19
q_sample_qna	1	Como evitar o fumo ambiental em casa durante o período de confinamento
q_sample_qna	1	Posso morrer de Covid 19
q_sample_qna	1	O COVID-19 pode ser transmitido através de alimentos, incluindo os refrigerados e congelados
q_sample_qna	1	É obrigatória a redução da lotação máxima dos estabelecimentos de restauração e bebidas exemplificada no anexo da Orientação nº 023/2020
q_sample_qna	1	As pessoas que fumam têm maior risco de desenvolver complicações graves se contraírem a COVID-19
q_sample_qna	1	Qual é o período de incubação
q_sample_qna	1	Devo desinfetar tablets, smartphones e computadores
q_sample_qna	1	A COVID-19 é o mesmo que gripe
q_sample_qna	1	Quais os sinais e sintomas
q_sample_qna	1	No caso de contactarem diretamente, onde podem obter os contactos? Há algum diretório
q_sample_qna	1	Porque culpam ou evitam pessoas e grupos devido ao COVID-19 (Estigmatização)
q_sample_qna	1	Devo viajar
q_sample_qna	1	Quais os cuidados a ter em isolamento
q_sample_qna	1	s sintomas de COVID-19 são diferentes nas crianças e nos adultos
q_sample_qna	1	Os utentes devem contactar os CSP diretamente ou apenas através do SNS24
q_sample_qna	1	A doença materna com COVID-19 durante o período de aleitamento materno está associada a um risco potencial para uma criança que é amamentada
q_sample_qna	1	O que devem ter em conta os outros membros da casa
q_sample_qna	1	Gostaria de deixar de fumar. Como posso obter apoio
q_sample_qna	1	As mulheres grávidas são mais suscetíveis à infeção ou têm maior risco de doenças graves, morbidade ou mortalidade com a COVID-19, em comparação com o público em geral
